[SETTINGS]
#map_size(width)	map_size(height)
1524	780
# type :0 = Mario , 1 = Brick, 2 = Eyelet, 3 = Stuka, 4= BallCarry, 5=BallBot, 6=GX680, 7=GX680S, 8=Drap, 9=LaseGuard, 10=interrup
#Obj_type	x	y	ani_set

[MapObj]
#widht height path
46	94	QuadTree\map.txt
[OBJECTS]
# GOOMBA
#2	200	135	30
#2	180	135	30
#3	182	120	31
#4	140	135	32
#5	150	135	33
#5	933	506	33
#6	165	135	34
#7	200	135	35
#8	96	135	36
#9	48	135	37
10	130	110	38
10	1390	94	38
10	1423	158	38
10	1390	221	38
5	1008	254	33
3	879	360	31
2	1017	416	30
5	638	318	33
3	688	432	31
3	479	480	31
2	415	496	30
2	239	496	30
3	63	544	31
5	349	638	33
4	349	687	32
3	625	638	31
5	636	573	33
4	653	687	32
3	715	597	31
3	910	597	31
3	974	597	31
2	797	626	30
2	820	626	30
# --- SCENE PORTAL ----
# type	l	t	ani_set_id	r	b	scene_id
50	1454	115	0	1493	95	1
